x,y,z,id,group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16,group17,group18,group19,group20,group21
1,3,470.11036789298,470.11036789298,1105006477084.4,25210974710728,11246403439539,15356758455421,4495679891131.6,5870407083523.2,4264637988614.2,4088907426804.1,3844061260252.2,3495261537450.8,2199782354185.5,4874191242704.4,2432719801469.8,2870577087408.6,3058003814432.1,3799201575694.7,7010825924845.7,2076915932151.7,1500437170462.2,238208189821.97,68757518379.886
1,3,473.69899665552,473.69899665552,1105919613296.4,25231806924988,11255696184628,15369446903941,4499394370865.4,5875257314601.2,4268161455407.9,4092285656783.6,3847237155921.4,3498149221711.9,2201599733589.9,4878218031996.4,2434729553866.1,2872948526206.6,3060530020747.9,3802339966536.5,7016617158141.8,2078631529174.1,1501676571620.7,238404955608.92,68814313869.934
1,3,477.28762541806,477.28762541806,1106829739378,25252570462122,11264958293344,15382093518888,4503096603836.9,5880091553973.6,4271673304793.8,4095652748054.8,3850402579863.2,3501027384411.6,2203411120487.5,4882231543304.2,2436732679184,2875312145129.7,3063047896591.9,3805468007738.9,7022389292773.2,2080341468324.8,1502911885332.5,238601072476.01,68870922052.757
1,3,480.8762541806,480.8762541806,1107619598108.5,25270590059724,11272996350297,15393068706982,4506309527242.4,5884286857562.5,4274720989962.9,4098574801170.5,3853149614334.7,3503525120758.6,2204983081577.4,4885714543395.1,2438471024891.5,2877363327214.7,3065232935109.5,3808182537393,7027398355561.2,2081825351750.2,1503983888381.8,238771262269.83,68920046525.573
1,3,484.46488294314,484.46488294314,1108409456839,25288609657326,11281034407250,15404043895075,4509522450647.8,5888482161151.4,4277768675132.1,4101496854286.2,3855896648806.1,3506022857105.7,2206555042667.3,4889197543486,2440209370598.9,2879414509299.7,3067417973627.2,3810897067047.2,7032407418349.1,2083309235175.5,1505055891431.1,238941452063.66,68969170998.389
1,3,488.05351170569,488.05351170569,1109098678608.2,25304333190739,11288048206833,15413620473753,4512325931753.9,5892142818991.2,4280427959163.2,4104046510537.5,3858293585424.5,3508202262235,2207926658274.9,4892236625281.8,2441726155494.7,2881204252241.1,3069324502471.6,3813265581133.5,7036777962995.4,2084603961207.3,1505991240464.8,239089946771.22,69012033301.819
1,3,491.64214046823,491.64214046823,1109765004844,25319534355299,11294828981508,15422878860108,4515036262195.9,5895681841605,4282998879524.9,4106511444191,3860610872608.5,3510309245036.7,2209252694042,4895174712910.3,2443192533930.9,2882934516154.8,3071167668636.9,3815555374530.7,7041003240801.8,2085855652758,1506895499861.8,239233505712.02,69053470922.851
1,3,495.23076923077,495.23076923077,1110356469809.5,25333027537274,11300847837974,15431096858131,4517442019454.2,5898823155620.2,4285280878768.2,4108699361916.6,3862667731534.9,3512179429953.2,2210429698302.5,4897782581973.1,2444494099409.8,2884470302762.1,3072803659303.2,3817587776799,7044753543184.4,2086966635524,1507698106243.4,239360926299.34,69090250295.171
1,3,498.81939799331,498.81939799331,1110899038391.2,25345405133422,11306369039977,15438635316160,4519648841705.9,5901704702305.3,4287374166307.2,4110706343931.3,3864554489152.4,3513894947973.8,2211509361151.1,4900174765492.5,2445688015665.1,2885879064580.7,3074304331230.1,3819452061489.4,7048193610640.9,2087985712946.5,1508434316946,239477805960.44,69123987085.976
1,3,502.40802675585,502.40802675585,1111392627695.5,25356665253215,11311391744363,15445493083251,4521656392045.2,5904326041788.9,4289278422621.1,4112532083909.3,3866270857504.2,3515455537293.6,2212491517828.4,4902350898453.4,2446774100533,2887160586692.6,3075669455509.2,3821147944254.9,7051322918521.1,2088912729619.5,1509104019709.5,239584126874.06,69154676151.019
1,3,505.99665551839,505.99665551839,1111811243437.4,25366214829530,11315651388446,15451308903065,4523358912870.3,5906549076888.3,4290893325046.2,4114080393065.1,3867726407588.2,3516778974142.4,2213324419853.1,4904196318489.5,2447695125732.8,2888247340432.7,3076827094284.1,3822586050815.1,7053976540482.9,2089698827056,1509671917436.4,239674285301.06,69180700001.09
1,3,509.58528428094,509.58528428094,1112206849358.8,25375239430510,11319676845169,15456804943776,4524967818548,5908649870324,4292419423289.5,4115543557302.6,3869101911243.5,3518029627725.3,2214111514891.9,4905940241131.1,2448565493331.2,2889274318837.7,3077921054788.8,3823945044686.4,7056484172335.5,2090441675764.6,1510208570755.9,239759483390.91,69205292076.46
1,3,513.17391304348,513.17391304348,1112501347177.2,25381957222517,11322673252590,15460895834085,4526165367258.1,5910213518206.5,4293555304564.5,4116632583845.9,3870125680621.9,3518960462299.8,2214697328157.7,4907238171200.3,2449213264930.4,2890038636751.4,3078735204804.5,3824956407253.1,7058350304918.9,2090994484014.2,1510607932140.4,239822885122.99,69223592750.11
1,3,516.76254180602,516.76254180602,1112795844995.5,25388675014523,11325669660012,15464986724394,4527362915968.3,5911777166088.9,4294691185839.6,4117721610389.1,3871149450000.2,3519891296874.3,2215283141423.5,4908536101269.4,2449861036529.5,2890802954665,3079549354820.1,3825967769819.7,7060216437502.3,2091547292263.9,1511007293524.9,239886286855.06,69241893423.759
